iter	Passed	Remaining
787	4422	1189
788	4428	1184
789	4434	1178
790	4439	1173
791	4445	1167
792	4451	1161
793	4456	1156
794	4461	1150
795	4467	1144
796	4472	1139
797	4478	1133
798	4483	1127
799	4488	1122
800	4494	1116
801	4499	1110
802	4505	1105
803	4511	1099
804	4516	1094
805	4522	1088
806	4528	1083
807	4533	1077
808	4539	1071
809	4545	1066
810	4550	1060
811	4556	1054
812	4561	1049
813	4566	1043
814	4571	1037
815	4577	1032
816	4581	1026
817	4587	1020
818	4592	1014
819	4597	1009
820	4603	1003
821	4609	998
822	4614	992
823	4619	986
824	4624	981
825	4630	975
826	4636	969
827	4641	964
828	4646	958
829	4651	952
830	4657	947
831	4662	941
832	4668	935
833	4674	930
834	4679	924
835	4685	919
836	4690	913
837	4696	907
838	4701	902
839	4708	896
840	4713	891
841	4719	885
842	4724	879
843	4728	874
844	4735	868
845	4740	862
846	4746	857
847	4751	851
848	4756	845
849	4761	840
850	4766	834
851	4772	828
852	4777	823
853	4783	817
854	4788	812
855	4793	806
856	4798	800
857	4804	795
858	4810	789
859	4815	783
860	4821	778
861	4826	772
862	4832	767
863	4838	761
864	4843	755
865	4848	750
866	4854	744
867	4859	739
868	4865	733
869	4871	727
870	4876	722
871	4881	716
872	4886	710
873	4892	705
874	4897	699
875	4902	694
876	4908	688
877	4913	682
878	4918	677
879	4924	671
880	4930	665
881	4935	660
882	4941	654
883	4947	649
884	4951	643
885	4957	637
886	4962	632
887	4967	626
888	4973	620
889	4978	615
890	4982	609
891	4988	603
892	4993	598
893	4999	592
894	5004	587
895	5009	581
896	5015	575
897	5020	570
898	5028	564
899	5038	559
900	5044	554
901	5049	548
902	5055	543
903	5060	537
904	5065	531
905	5071	526
906	5076	520
907	5082	514
908	5087	509
909	5093	503
910	5098	498
911	5103	492
912	5108	486
913	5114	481
914	5120	475
915	5125	470
916	5130	464
917	5135	458
918	5141	453
919	5146	447
920	5152	441
921	5157	436
922	5162	430
923	5168	425
924	5173	419
925	5178	413
926	5184	408
927	5189	402
928	5195	397
929	5200	391
930	5206	385
931	5211	380
932	5216	374
933	5222	369
934	5227	363
935	5233	357
936	5239	352
937	5244	346
938	5249	341
939	5255	335
940	5260	329
941	5266	324
942	5272	318
943	5277	313
944	5283	307
945	5288	301
946	5294	296
947	5300	290
948	5305	285
949	5311	279
950	5316	273
951	5322	268
952	5328	262
953	5334	257
954	5339	251
955	5344	245
956	5350	240
957	5356	234
958	5361	229
959	5366	223
960	5371	217
961	5377	212
962	5382	206
963	5388	201
964	5393	195
965	5399	190
966	5404	184
967	5410	178
968	5415	173
969	5421	167
970	5427	162
971	5433	156
972	5438	150
973	5443	145
974	5449	139
975	5454	134
976	5459	128
977	5464	122
978	5469	117
979	5474	111
980	5480	106
981	5486	100
982	5491	94
983	5496	89
984	5501	83
985	5507	78
986	5512	72
987	5519	67
988	5524	61
989	5529	55
990	5534	50
991	5540	44
992	5546	39
993	5552	33
994	5556	27
995	5562	22
996	5568	16
997	5573	11
998	5578	5
999	5584	0
